Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Symvivo,Vaccine,DNA-based,Pre-clinical,Unknown,"bacTRL-Spike
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Takis/ Applied DNA Sciences/ Evvivax,Vaccine,DNA-based,Pre-clinical,Animal results released in May 2020; Phase I to start in fall 2020,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/17/2020
Wuhan Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase III,Phase III trial began July 2020; Early Phase I/II trial results released June 2020,Inactivated," ChiCTR2000031809, ChiCTR2000034780",Unknown,(https://www.cnbg.com.cn/content/details_12_5545.html),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
Beijing Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase II,"In Phase II, June 2020",Inactivated,"ChiCTR2000032459, ChiCTR2000034780",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Vaccine,Inactivated virus,Phase II,Phase II began June 2020,Inactivated,NCT04412538,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
Sinovac/ Instituto Butantan,Vaccine,Inactivated virus,Phase II,Phase III enrolling in Brazil in July 2020; Phase II started in June 2020; preliminary results from Phase I/II trials released June 2020,Inactivated (inactivated + alum); CoronaVac (formerly PiCoVacc),"NCT04456595, NCT04352608, NCT04383574",Unknown,(http://www.sinovac.com/?optionid=754&auto_id=904),Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Beijing Minhai Biotechnology Co., Ltd.",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
Bharat Biotech,Vaccine,Inactivated virus,Pre-clinical,Phase I/II to start in July 2020,Whole-Virion Inactivated (COVAXIN),CTRI/2020/07/026300,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/16/2020
KM Biologics,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + alum),,Unknown,,"Same platform as vaccine candidates for JE, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"National Research Centre, Egypt",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated whole virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Osaka University / BIKEN / NIBIOHN,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Selcuk University,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Sinovac/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Valneva/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,"Inactivated (Inactivated + CpG 1018), VLA2001",,Unknown,,Same platform as vaccine candidates for Japanese Encephalitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Codagenix / Serum Institute of India,Vaccine,Live attenuated virus,Pre-clinical,Animal data in summer 2020,Codon deoptimized live attenuated virus,,Unknown,,"Same platform as vaccine candidates for HAV, InfA, ZIKV, FMD, SIV, RSV, DENV ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Indian Immunologicals Ltd/ Griffith University,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated vaccines,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Meissa Vaccines ,Vaccine,Live attenuated virus,Pre-clinical,Start Phase 1 beginning of 2021,MV-014-210,,Unknown,,Same platform as vaccine candidates for RSV,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/2/2020
"Consortium of the Jenner Institute, Oxford Biomedica, University of Oxford, Vaccines Manufacturing and Innovation Centre, Pall Life Sciences, Cobra Biologics, HalixBV, Advent s.r.l., Merck KGaA, the Serum Institute, Vaccitech, and AstraZeneca/IQVIA ",Vaccine,Non-replicating viral vector,Phase III,Interim results from ongoing Phase I/II trial released in July 2020; Phase III enrolling in Brazil end of June 2020; South African trial starts end of June 2020; Will join US Operation Warp Speed Phase III vaccine trials in August 2020; Phase II/III trials enrolling May 2020,Non-replicating viral vector; AZD 1222 (formerly ChAdOx1),"ISRCTN89951424, NCT04324606, EudraCT 2020-001072-15, EudraCT 2020-001228-32, NCT04400838, ISRCTN89951424, PACTR202006922165132","Coalition for Epidemic Preparedness Innovations (CEPI)/ UK Government/ Biomedical Advanced Research and Development Authority (BARDA)/ Gavi, the Vaccine Alliance",The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31604-4/fulltext),"Same platform as vaccine candidates for influenza, TB, Chikungunya, Zika, MenB, plague",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/24/2020
CanSino Biologics/Beijing Institute of Biotechnology/ Canada's National Research Council ,Vaccine,Non-replicating viral vector,Phase II,"Approved for military use in China on June 25, 2020; Phase II started April 2020; initial results released May 2020",Non-replicating viral vector; Adenovirus Type 5 vector (Ad5-nCoV),NCT04313127 ChiCTR2000030906 ChiCTR2000031781 NCT04398147,Unknown,The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31208-3/fulltext),Same platform as vaccine candidates for EBOV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Gamaleya  Research Institute,Vaccine,Non-replicating viral vector,Phase I,Unknown,Adeno-based,NCT04437875,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
Altimmune / University of Alabama at Birmingham,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I trial to begin Q3 2020,"AdCOVID; single-dose, intranasal vaccine; non replicating viral vector; adenovirus-based NasoVAX expressing spike protein",,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Ankara University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Bharat Biotech/ Thomas Jefferson University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Recombinant deactivated rabies virus containing S1,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,"Non-replicating viral vector, MVA expressing structural proteins",,Unknown,,"Same platform as vaccine candidates for HIV, HCV, CHIKV, EBOV, Zika, Malaria, Leishmania",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
DZIF - German Center for Infection Research/ IDT Biologika GmbH,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; MVA-S encoded,,Unknown,,Same platform as vaccine candidates for many pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
GeoVax / BravoVax,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; MVA encoded VLP,,Unknown,,"Same platform as vaccine candidates for LASV, EBOV, MARV, HIV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Greffex,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; Ad5 S (GREVAX™ platform),,Unknown,,"Same platform as vaccine candidates for MERS
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Grousbeck Gene Therapy Center at Mass. Eye and Ear/ AveXis, a Novartis Company/  Viralgen/ Aldevron/ Catalent/ Penn Medicine",Vaccine,Non-replicating viral vector,Pre-clinical,Phase 1 to begin second half of 2020,"AAVCOVID, Adeno-associated viral vector (AAV), spike protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
ID Pharma,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Sendai virus vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,MVA-S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
ImmunityBio/ NantKwest,Vaccine,Non-replicating viral vector,Pre-clinical,Start Phase I in June 2020; vaccine to be included in US Operation Warp Speed trials according to company,"Non-replicating viral vector; [E1-, E2b-, E3-] hAd5-COVID19-Spike/Nucleocapsid",,Unknown,,"Same platform as vaccine candidates for flu, Chik, Zika, EBOV, LASV, HIV/SIV, cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent,Vaccine,Non-replicating viral vector,Pre-clinical,"Will join US Operation Warp Speed vaccine trials in September 2020; Phase I/IIa to start in July 2020, initial results expected in September 2020","Ad26.COV2-S, Non replicating viral vector; Ad26 (alone or with MVA boost)",,Biomedical Advanced Research and Development Authority (BARDA),,"Same platform as vaccine candidates for Ebola, HIV, RSV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/17/2020
"National
  Research Centre, Egypt",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Influenza A H1N1 vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"National Center for Genetic Engineering and Biotechnology (BIOTEC)/ GPO, Thailand",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
ReiThera/ Leukocare/ Univercells,Vaccine,Non-replicating viral vector,Pre-clinical,Start Phase I in summer 2020,Non-replicating viral vector; replication defective simian adenovirus (GRAd) encoding SARS-CoV-2 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Stabilitech Biopharma Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Oral Ad5 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
University of Georgia/ University of Iowa,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,,Unknown,,Same platform as vaccine candidates for MERS ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
University of Manitoba,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; dendritic cell-based vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/20/2020
Valo Therapeutics Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based + HLA-matched peptides (Pan-Corona),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Vaxart / Emergent BioSolutions,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I trial to begin in the second half of 2020,"Non-replicating viral vector; Oral Vaccine
 platform",,Unknown,,"Same platform as vaccine candidates for InfA, CHIKV, LASV, NORV, EBOV, RVF, HBV, VEE",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Clover Biopharmaceuticals Inc./ GSK/ Dynavax,Vaccine,Protein subunit,Phase I,"CEPI partnership expanded in July 2020, Phase I trial started June 2020, preliminary results expected August 2020","Protein subunit, native like trimeric subunit spike protein",NCT04405908,Coalition for Epidemic Preparedness (CEPI),,"Same platform as vaccine candidates for HIV, RSV, Influenza",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
Novavax/ Emergent BioSolutions/ Praha Vaccines/Serum Institute of India/ AGC Biologics,Vaccine,Protein subunit,Phase I,"Will join US Operation Warp Speed vaccine trials, Phase III trial to start in fall 2020; Phase I/II started May 2020; top-line data expected July 2020",Protein subunit; Full-length recombinant SARS COV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M (NVX-CoV2373),NCT04368988,Coalition for Epidemic Preparedness (CEPI)/ US Department of Defense,,"Same platform as vaccine candidates for RSV, CCHF, HPV, VZV, EBOV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
University of Queensland/CSL/Seqirus,Vaccine,Protein subunit,Phase I,Phase I trial started July 2020,Protein subunit; molecular clamp stabilized Spike protein with MF59 adjuvant,ACTRN12620000674932p,Coalition for Epidemic Preparedness (CEPI)/Queensland Government/Federal Government (Australia)/Paul Ramsay Foundation,,"Same platform as vaccine candidates for Nipah, influenza, Ebola, Lassa",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
Vaxine Pty Ltd/ Flinders University/ Oracle/ Medytox/ Sypharma,Vaccine,Protein subunit,Phase I,Phase I trial started July 2020,Protein subunit; recombinant spike protein with Advax adjuvant (COVAX-19),NCT04453852,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
AJ Vaccines,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of Sciences",Vaccine,Protein subunit,Pre-clinical,Phase II to start as early as July 2020; Phase I preliminary results expected in September 2020; Received approval to launch clinical trials in China in June 2020,Adjuvanted recombinant protein (RBD-Dimer),"NCT04445194, NCT04466085",Unknown,,Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/16/2020
AnyGo Technology,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant S1-Fc fusion protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Applied Biotechnology Institute, Inc.",Vaccine,Protein subunit,Pre-clinical,Unknown,"Orally delivered, heat stable subunit",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Axon Neuroscience SE,Vaccine,Protein subunit,Pre-clinical,Unknown,Peptides derived from Spike protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Baiya Phytopharm/ Chula Vaccine Research Center,Vaccine,Protein subunit,Pre-clinical,Unknown,Plant-based subunit (RBD-Fc + Adjuvant),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
Baylor College of Medicine,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S1 or RBD protein,,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Biological E Ltd,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; adjuvanted protein subunit (RBD),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
BiOMVis Srl/ University of Trento,Vaccine,Protein subunit,Pre-clinical,Unknown,OMV-based vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Bogazici University,Vaccine,Protein subunit,Pre-clinical,Unknown,Peptide + novel adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Chulalongkorn University/ GPO, Thailand",Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein fused with Fc of IgG + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
EpiVax ,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit EPV-CoV-19,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
EpiVax / University of Georgia,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S protein,,Unknown,,Same platform as vaccine candidates for Inf H7N9,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ExpreS2ion,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, drosophila S2 insect cell expression system VLPs",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; peptide vaccine,,Unknown,,Same platform as vaccine candidates for Ebola,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; subunit vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Flow Pharma,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, peptide",,Unknown,,"Same platform as vaccine candidates for Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, Breast Cancer ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Generex / EpiVax,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; Ii-Key peptide,,Unknown,,"Same platform as vaccine candidates for HIV, SARS-CoV, Influenza",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
